Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9969001859888407,0.9945964170509013,0.9793916330123227,0.9868781444188147
SVM (RBF),0.9956602603843769,0.9984308451019951,0.9623754789272031,0.9796940519892997
Decision Tree,0.9944203347799132,0.987801915655797,0.9632277104690897,0.9752299240696322
Random Forest,0.9969001859888407,0.9946564771109613,0.9780889510199855,0.9861435050645938
XGBoost,0.9956602603843769,0.9927008177008178,0.9692000621310966,0.9807144135131051
